"count","ptCnt","Grupo","ptid","List","TrialNum","CueDirection","SentenceDirection","StimulusType","Accuracy","MoveTime","LiftOffLatency","SentDur","ItemNumber","SentenceStimulus","Date","PostQ1","PostQ2","PostQ3","PostQ4","liftOffDiff",,"X","X.1","Compatibilidad",,,
82,0,"Grupo A",402,2,2,0,1,0,1,513,2161,1600,36,"You confessed your secret to Dan","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n","561",,"","",0,,,
84,0,"Grupo A",402,2,4,1,1,0,1,637,1928,1422,23,"You dealt the cards to Mark","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n","506",,"","",1,,,
87,0,"Grupo A",402,2,7,1,0,0,1,635,1952,1489,3,"Jack kicked the football to you","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n","463",,"","",0,,,
88,0,"Grupo A",402,2,8,0,1,0,1,584,1989,1270,38,"You paid Amanda tribute","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n","719",,"","",0,,,
89,0,"Grupo A",402,2,9,1,0,0,1,445,1706,1396,6,"Christine bought you ice cream","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n","310",,"","",0,,,
92,0,"Grupo A",402,2,12,0,0,0,1,576,1902,1390,18,"Your sister blew you a kiss","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n","512",,"","",1,,,
95,0,"Grupo A",402,2,15,0,1,0,1,643,2064,1856,33,"You transmitted the orders to Sara","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n","208",,"","",0,,,
99,0,"Grupo A",402,2,19,0,1,0,1,491,1648,1182,31,"You slipped Heather a note","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n","466",,"","",0,,,
100,0,"Grupo A",402,2,20,1,1,0,1,435,1691,1427,30,"You poured your dad some water","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n","264",,"","",1,,,
103,0,"Grupo A",402,2,23,1,0,0,1,497,3150,1875,5,"Kelly dispensed the rations to you","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n","1275",,"","",0,,,
104,0,"Grupo A",402,2,24,1,1,0,1,334,2079,1567,25,"You handed the puppy to Katie","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n","512",,"","",1,,,
105,0,"Grupo A",402,2,25,1,0,0,1,375,2393,1926,7,"Sally slid you the cafeteria tray","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n","467",,"","",0,,,
109,0,"Grupo A",402,2,29,0,1,0,1,484,1786,1310,39,"You told Liz the story","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n","476",,"","",0,,,
110,0,"Grupo A",402,2,30,1,0,0,1,940,2155,1322,9,"Paul hit you the baseball","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n","833",,"","",0,,,
117,0,"Grupo A",402,2,37,0,0,0,1,487,2063,1508,17,"Chris offered you some writing tips","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n","555",,"","",1,,,
119,0,"Grupo A",402,2,39,1,1,0,1,478,1948,1634,24,"You entrusted the key to Jeff","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n","314",,"","",1,,,
120,0,"Grupo A",402,2,40,1,0,0,1,411,1660,1503,1,"Andy delivered the pizza to you","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n","157",,"","",0,,,
121,0,"Grupo A",402,2,41,1,1,0,1,615,2603,1645,27,"You kicked Joe the soccer ball","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n","958",,"","",1,,,
122,0,"Grupo A",402,2,42,0,0,0,1,430,1975,1746,12,"Tiana devoted her time to you","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n","229",,"","",1,,,
123,0,"Grupo A",402,2,43,0,1,0,1,370,2352,1724,37,"Ian received the complaint from you","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n","628",,"","",0,,,
132,0,"Grupo A",402,2,52,0,0,0,1,202,2625,1698,15,"Jesse gave you another chance","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n","927",,"","",1,,,
133,0,"Grupo A",402,2,53,1,0,0,1,439,2841,1704,10,"Adam conveyed the message to you","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n","1137",,"","",0,,,
135,0,"Grupo A",402,2,55,0,0,0,1,452,2450,1805,11,"Art bestowed the honor upon you","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n","645",,"","",1,,,
138,0,"Grupo A",402,2,58,0,0,0,1,620,1528,1369,14,"Jenni sang you a song","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n","159",,"","",1,,,
139,0,"Grupo A",402,2,59,0,1,0,1,621,1631,1371,32,"You sold the land to Mike","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n","260",,"","",0,,,
141,0,"Grupo A",402,2,61,1,1,0,1,554,2765,1620,28,"You shot Shawn the rubber band","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n","1145",,"","",1,,,
142,0,"Grupo A",402,2,62,1,1,0,1,395,1746,1637,22,"You donated money to Vincent","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n","109",,"","",1,,,
143,0,"Grupo A",402,2,63,1,0,0,1,425,1709,1433,4,"Amber drove the car to you","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n","276",,"","",0,,,
145,0,"Grupo A",402,2,65,0,0,0,1,399,1456,1022,19,"He taught you a lesson","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n","434",,"","",1,,,
147,0,"Grupo A",402,2,67,1,0,0,1,369,1748,1559,8,"Courtney handed you the notebook","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n","189",,"","",0,,,
149,0,"Grupo A",402,2,69,1,0,0,1,299,1743,1534,2,"Helen awarded a medal to you","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n","209",,"","",0,,,
152,0,"Grupo A",402,2,72,0,1,0,1,365,2175,2065,34,"You radioed the message to the policeman","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n","110",,"","",0,,,
153,0,"Grupo A",402,2,73,0,0,0,1,349,1997,1472,20,"Andy pitched you the idea","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n","525",,"","",1,,,
158,0,"Grupo A",402,2,78,1,1,0,1,469,2112,1186,26,"You threw Diane the pen","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n","926",,"","",1,,,
159,0,"Grupo A",402,2,79,0,0,0,1,446,1858,1696,13,"John dedicated the song to you","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n","162",,"","",1,,,
161,1,"Grupo A",403,4,1,0,1,0,1,269,1824,1635,35,"You gave Jesse another chance","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","189",,"","","",0,,
162,0,"Grupo A",403,4,2,1,0,0,1,245,1676,1460,3,"Mark dealt the cards to you","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","216",,"","","",0,,
165,0,"Grupo A",403,4,5,0,1,0,1,293,2020,1579,37,"You offered Chris some writing tips","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","441",,"","","",0,,
166,0,"Grupo A",403,4,6,0,1,0,1,285,2228,1647,32,"You devoted your time to Tiana","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","581",,"","","",0,,
170,0,"Grupo A",403,4,10,0,1,0,1,247,2588,1837,31,"You bestowed the honor upon Art","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","751",,"","","",0,,
172,0,"Grupo A",403,4,12,0,0,0,1,278,3209,1724,17,"You received the complaint from Ian","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","1485",,"","","",1,,
173,0,"Grupo A",403,4,13,1,0,0,1,448,1987,1523,7,"Joe kicked you the soccer ball","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","464",,"","","",0,,
175,0,"Grupo A",403,4,15,1,1,0,1,410,2197,1293,29,"You hit Paul the baseball","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","904",,"","","",1,,
178,0,"Grupo A",403,4,18,1,0,0,1,416,3980,1579,5,"Katie handed the puppy to you","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","2401",,"","","",0,,
181,0,"Grupo A",403,4,21,1,1,0,1,451,2049,1439,26,"You bought Christine ice cream","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","610",,"","","",1,,
183,0,"Grupo A",403,4,23,1,0,0,1,1133,2031,1623,8,"Shawn shot you the rubber band","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","408",,"","","",0,,
184,0,"Grupo A",403,4,24,1,1,0,1,395,2002,1321,24,"You drove the car to Amber","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","681",,"","","",1,,
187,0,"Grupo A",403,4,27,0,1,0,1,293,2857,1507,40,"You pitched Andy the idea","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","1350",,"","","",0,,
189,0,"Grupo A",403,4,29,0,1,0,1,383,1992,1639,33,"You dedicated the song to John","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","353",,"","","",0,,
193,0,"Grupo A",403,4,33,1,0,0,1,524,1990,1233,6,"Diane threw you the pen","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","757",,"","","",0,,
194,0,"Grupo A",403,4,34,0,0,0,1,336,2158,1874,13,"Sara transmitted the orders to you","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","284",,"","","",1,,
200,0,"Grupo A",403,4,40,1,1,0,1,476,2042,1483,23,"You kicked the football to Jack","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","559",,"","","",1,,
202,0,"Grupo A",403,4,42,0,0,0,1,637,2314,1304,18,"Amanda paid you tribute","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","1010",,"","","",1,,
204,0,"Grupo A",403,4,44,1,1,0,1,486,1925,1681,21,"You delivered the Pizza to Andy","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","244",,"","","",1,,
206,0,"Grupo A",403,4,46,0,0,0,1,386,1860,1371,20,"Your family sent you regards","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","489",,"","","",1,,
209,0,"Grupo A",403,4,49,0,0,0,1,435,1534,1002,11,"Heather slipped you a note","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","532",,"","","",1,,
211,0,"Grupo A",403,4,51,0,1,0,1,328,1913,1126,39,"You taught him a lesson","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","787",,"","","",0,,
212,0,"Grupo A",403,4,52,1,1,0,1,240,1715,1485,22,"You awarded a medal to Helen","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","230",,"","","",1,,
221,0,"Grupo A",403,4,61,0,0,0,1,384,2852,2184,14,"The policeman radioed the message to you","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","668",,"","","",1,,
224,0,"Grupo A",403,4,64,1,0,0,1,351,2342,1347,9,"Mike rolled you the marble","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","995",,"","","",0,,
227,0,"Grupo A",403,4,67,0,0,0,1,449,2155,1501,12,"Mike sold the land to you","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","654",,"","","",1,,
230,0,"Grupo A",403,4,70,0,0,0,1,394,2190,2138,15,"Anna transferred responsibility to you","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","52",,"","","",1,,
232,0,"Grupo A",403,4,72,1,0,0,1,5089,90,1473,10,"Your dad poured you some water","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","-1383",,"","","",0,,
235,0,"Grupo A",403,4,75,1,0,0,1,328,1990,1693,4,"Jeff entrusted the key to you","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","297",,"","","",0,,
237,0,"Grupo A",403,4,77,0,0,0,1,303,1655,1277,19,"Liz told you the story","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","378",,"","","",1,,
238,0,"Grupo A",403,4,78,0,0,0,1,391,1872,1647,16,"Dan confessed his secret to you","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","225",,"","","",1,,
241,1,"Grupo A",404,1,1,1,1,0,1,56,1748,1407,40,"You sent your family regards","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n","341",,"","",1,,,
248,0,"Grupo A",404,1,8,0,0,0,1,103,1956,1704,10,"Adam conveyed the message to you","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n","252",,"","",1,,,
249,0,"Grupo A",404,1,9,1,0,0,1,19,1988,1733,16,"Steve lavished you with praise","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n","255",,"","",0,,,
250,0,"Grupo A",404,1,10,1,1,0,1,7,2279,2034,35,"You transferred responsibility to Anna","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n","245",,"","",1,,,
251,0,"Grupo A",404,1,11,0,0,0,1,2,1782,1559,8,"Courtney handed you the notebook","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n","223",,"","",1,,,
260,0,"Grupo A",404,1,20,0,0,0,1,17,1907,1503,1,"Andy delivered the pizza to you","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n","404",,"","",1,,,
261,0,"Grupo A",404,1,21,0,0,0,1,20,2208,1875,5,"Kelly dispensed the rations to you","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n","333",,"","",1,,,
262,0,"Grupo A",404,1,22,1,0,0,1,83,1621,1022,19,"He taught you a lesson","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n","599",,"","",0,,,
263,0,"Grupo A",404,1,23,1,0,0,1,121,1743,1698,15,"Jesse gave you another chance","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n","45",,"","",0,,,
264,0,"Grupo A",404,1,24,0,0,0,1,146,1745,1396,6,"Christine bought you ice cream","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n","349",,"","",1,,,
265,0,"Grupo A",404,1,25,0,1,0,1,57,2007,1364,29,"You rolled Mike the marble","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n","643",,"","",0,,,
266,0,"Grupo A",404,1,26,0,1,0,1,105,2055,1634,24,"You entrusted the key to Jeff","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n","421",,"","",0,,,
267,0,"Grupo A",404,1,27,0,1,0,1,124,2075,1645,27,"You kicked Joe the soccer ball","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n","430",,"","",0,,,
271,0,"Grupo A",404,1,31,0,1,0,1,38,2206,1637,22,"You donated money to Vincent","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n","569",,"","",0,,,
273,0,"Grupo A",404,1,33,1,1,0,1,146,1677,1270,38,"You paid Amanda tribute","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n","407",,"","",1,,,
275,0,"Grupo A",404,1,35,1,0,0,1,282,2284,1746,12,"Tiana devoted her time to you","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n","538",,"","",0,,,
276,0,"Grupo A",404,1,36,1,1,0,1,175,2047,1724,37,"Ian received the complaint from you","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n","323",,"","",1,,,
279,0,"Grupo A",404,1,39,0,0,0,1,164,2595,1489,3,"Jack kicked the football to you","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n","1106",,"","",1,,,
282,0,"Grupo A",404,1,42,0,1,0,1,82,1855,1427,30,"You poured your dad some water","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n","428",,"","",0,,,
284,0,"Grupo A",404,1,44,1,0,0,1,167,2824,1472,20,"Andy pitched you the idea","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n","1352",,"","",0,,,
285,0,"Grupo A",404,1,45,0,1,0,1,62,2554,1620,28,"You shot Shawn the rubber band","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n","934",,"","",0,,,
286,0,"Grupo A",404,1,46,1,1,0,1,113,2375,2065,34,"You radioed the message to the policeman","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n","310",,"","",1,,,
287,0,"Grupo A",404,1,47,1,0,0,1,150,1872,1369,14,"Jenni sang you a song","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n","503",,"","",0,,,
290,0,"Grupo A",404,1,50,1,1,0,1,35,2236,1371,32,"You sold the land to Mike","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n","865",,"","",1,,,
292,0,"Grupo A",404,1,52,1,1,0,1,113,1641,1310,39,"You told Liz the story","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n","331",,"","",1,,,
294,0,"Grupo A",404,1,54,0,1,0,1,77,2135,1567,25,"You handed the puppy to Katie","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n","568",,"","",0,,,
295,0,"Grupo A",404,1,55,1,1,0,1,431,2222,1856,33,"You transmitted the orders to Sara","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n","366",,"","",1,,,
297,0,"Grupo A",404,1,57,1,0,0,1,131,2317,1508,17,"Chris offered you some writing tips","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n","809",,"","",0,,,
303,0,"Grupo A",404,1,63,1,0,0,1,31,2136,1696,13,"John dedicated the song to you","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n","440",,"","",0,,,
307,0,"Grupo A",404,1,67,0,0,0,1,64,2596,1926,7,"Sally slid you the cafeteria tray","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n","670",,"","",1,,,
316,0,"Grupo A",404,1,76,1,1,0,1,143,1981,1600,36,"You confessed your secret to Dan","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n","381",,"","",1,,,
323,0,"Grupo B",405,3,3,0,1,0,1,195,1780,1485,22,"You awarded a medal to Helen","01/13/2017","language","n","n","n","295",,"","",0,,,
327,0,"Grupo B",405,3,7,0,0,0,1,132,1926,1460,3,"Mark dealt the cards to you","01/13/2017","language","n","n","n","466",,"","",1,,,
331,0,"Grupo B",405,3,11,1,1,0,1,230,2714,1635,35,"You gave Jesse another chance","01/13/2017","language","n","n","n","1079",,"","",1,,,
334,0,"Grupo B",405,3,14,0,1,0,1,62,1895,1321,24,"You drove the car to Amber","01/13/2017","language","n","n","n","574",,"","",0,,,
336,0,"Grupo B",405,3,16,1,1,0,1,224,1888,1639,33,"You dedicated the song to John","01/13/2017","language","n","n","n","249",,"","",1,,,
339,0,"Grupo B",405,3,19,1,1,0,1,278,1987,1647,32,"You devoted your time to Tiana","01/13/2017","language","n","n","n","340",,"","",1,,,
344,0,"Grupo B",405,3,24,0,0,0,1,199,1884,1684,2,"Vincent donated money to you","01/13/2017","language","n","n","n","200",,"","",1,,,
347,0,"Grupo B",405,3,27,0,0,0,1,185,1909,1473,10,"Your dad poured you some water","01/13/2017","language","n","n","n","436",,"","",1,,,
348,0,"Grupo B",405,3,28,0,1,0,1,224,2337,1511,28,"You handed Courtney the notebook","01/13/2017","language","n","n","n","826",,"","",0,,,
349,0,"Grupo B",405,3,29,1,0,0,1,265,2045,1371,20,"Your family sent you regards","01/13/2017","language","n","n","n","674",,"","",0,,,
352,0,"Grupo B",405,3,32,1,1,0,1,338,1966,1390,34,"You sang Jenni a song","01/13/2017","language","n","n","n","576",,"","",1,,,
353,0,"Grupo B",405,3,33,1,0,0,1,356,2041,1724,17,"You received the complaint from Ian","01/13/2017","language","n","n","n","317",,"","",0,,,
354,0,"Grupo B",405,3,34,0,0,0,1,136,2679,1579,5,"Katie handed the puppy to you","01/13/2017","language","n","n","n","1100",,"","",1,,,
356,0,"Grupo B",405,3,36,1,1,0,1,261,2264,1307,38,"You blew your sister a kiss","01/13/2017","language","n","n","n","957",,"","",1,,,
359,0,"Grupo B",405,3,39,0,0,0,1,206,2186,1623,8,"Shawn shot you the rubber band","01/13/2017","language","n","n","n","563",,"","",1,,,
361,0,"Grupo B",405,3,41,1,0,0,1,634,2617,1874,13,"Sara transmitted the orders to you","01/13/2017","language","n","n","n","743",,"","",0,,,
362,0,"Grupo B",405,3,42,0,1,0,1,228,2414,1746,25,"You dispensed the rations to Kelly","01/13/2017","language","n","n","n","668",,"","",0,,,
365,0,"Grupo B",405,3,45,0,1,0,1,139,3765,1681,21,"You delivered the Pizza to Andy","01/13/2017","language","n","n","n","2084",,"","",0,,,
369,0,"Grupo B",405,3,49,1,1,0,1,337,3415,1579,37,"You offered Chris some writing tips","01/13/2017","language","n","n","n","1836",,"","",1,,,
370,0,"Grupo B",405,3,50,0,0,0,1,237,3419,1523,7,"Joe kicked you the soccer ball","01/13/2017","language","n","n","n","1896",,"","",1,,,
376,0,"Grupo B",405,3,56,1,0,0,1,247,2998,2138,15,"Anna transferred responsibility to you","01/13/2017","language","n","n","n","860",,"","",0,,,
381,0,"Grupo B",405,3,61,1,0,0,1,757,2279,1647,16,"Dan confessed his secret to you","01/13/2017","language","n","n","n","632",,"","",0,,,
